analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
50,25,true,,0.15346293708815362,0.35714057159149143,0.21485728648228095,39,43,12.0,49.0,0.935626102292769,0.12698412698412698,0.2286,41,2066,0.15,0.25,30
20,10,false,,0.25353938012537935,0.11418004028008528,-0.1684331455987964,6,3,1.0,18.0,0.2809734513274336,0.0,0.2776,42,2067,0.15,0.25,30
30,15,true,,0.13563463114419655,0.5006148702796426,0.36773598804533547,25,27,2.0,29.0,0.8041513223970539,0.3080013391362571,0.261,42,2067,0.15,0.25,30
20,10,false,,0.2938567317441172,0.1736179742091525,-0.17192351796781963,5,1,1.0,19.0,0.29676375404530747,0.0,0.2686,43,2068,0.15,0.25,30
30,15,false,,0.20386465325942024,0.16819548685043753,-0.05371276041978021,15,26,1.0,28.0,0.33278463648834017,0.10205761316872428,0.2642,43,2068,0.15,0.25,30
40,20,true,,0.19169006857965148,0.2502249967687745,0.06389307300449967,34,36,19.0,39.0,0.7087053571428571,0.32589285714285715,0.236,43,2068,0.15,0.25,30
20,10,false,,0.19405823305588443,0.17389904268452652,-0.00821661493066847,7,2,1.0,19.0,0.49216,0.0,0.2752,44,2069,0.15,0.25,30
30,15,false,,0.17533909553277685,0.17421397806993044,0.004525333245810781,15,25,1.0,29.0,0.5126979384523453,0.12100388407529131,0.2948,44,2069,0.15,0.25,30
40,20,true,,0.17580067436870475,0.2663197993958334,0.11078790883843534,32,36,2.0,39.0,0.7252199413489736,0.26715542521994134,0.2464,44,2069,0.15,0.25,30
20,10,false,,0.12442234718574907,0.15892557992876663,0.043193106701028744,10,1,1.0,19.0,0.589628681177977,0.0,0.3098,45,2070,0.15,0.25,30
30,15,false,,0.13947759001095714,0.19023268059191858,0.06637611873182832,20,25,2.0,29.0,0.6639143730886851,0.15902140672782875,0.2978,45,2070,0.15,0.25,30
